"","titles","prices","years"
"1429","Toyota RAV4",4900000,"2017"
"1430","BMW 320i",1450000,"2009"
"1431","Honda Civic",2300000,"2015"
"1432",NA,NA,NA
"1433","Honda Civic",3100000,"2016"
"1434","Honda Crv",1790000,"2008"
"1435","Nissan Wagon",950000,"2013"
"1436","Toyota Hiace",1550000,"2005"
"1437","Toyota Crown",2720000,"2011"
"1438","Honda CRV",1300000,"2006"
"1439","Mazda Demio",1500000,"2014"
"1440","Honda Civic",630000,"2004"
"1441","Toyota Corolla",1940000,"2013"
"1442","Subaru STI",9e+05,"2002"
"1443",NA,NA,NA
"1444","Toyota Probox",1200000,"2013"
"1445","Toyota Corolla",490000,"1999"
"1446","Honda Odyssey",1250000,"2008"
"1447","Mazda 6",870000,"2006"
"1448","Honda Civic",760000,"2004"
"1449","Toyota Axio",1390000,"2010"
"1450","Toyota Camry",150000,"1992"
"1451","Honda Accord",750000,"2003"
"1452","Suzuki Sport",350000,"2003"
"1453","Toyota Townace",670000,"2002"
"1454",NA,NA,NA
"1455","Nissan Sunny",310000,"1994"
"1456","Toyota sprinter",5e+05,"2000"
"1457","Honda Accord",750000,"2004"
"1458","Daihatsu Boon",525000,"2007"
"1459","Mercedes AMG",5200000,"2014"
"1460","Toyota X",2550000,"2012"
"1461","Honda CRV",5e+06,"2016"
"1462","Toyota Hiace",8e+05,"2001"
"1463","Toyota Corolla",1370000,"2012"
"1464","Toyota x",2700000,"2013"
"1465",NA,NA,NA
"1466","Acura S",8e+05,"2002"
"1467","Toyota isis",1350,"2009"
"1468","BMW X5",3100000,"2009"
"1469","Nissan MURANO",1300000,"2005"
"1470","Nissan tida",7e+05,"2008"
"1471","Mitsubishi ASX",2750000,"2014"
"1472","Isuzu NQR",2950000,"2006"
"1473","Subaru Anesis",1100000,"2010"
"1474","Toyota Camry",375000,"1997"
"1475","Toyota SI",2550000,"2012"
"1476",NA,NA,NA
"1477","Toyota Corolla",830000,"2003"
"1478","Honda Civic",2600000,"2016"
"1479","Nissan caravan",1500000,"2011"
"1480","Suzuki Swift",690000,"2007"
"1481","Nissan Primera",360000,"1996"
"1482","Toyota Corolla",1900000,"2012"
"1483","BMW 328i",2200000,"2012"
"1484","Honda CRV",5800000,"2017"
"1485","Honda civic",550000,"1998"
"1486","BMW 320i",2790000,"2012"
"1487",NA,NA,NA
"1488","Nissan caravan",9e+05,"2005"
"1489","Toyota fish",850000,"2001"
"1490","Honda Fit",1150000,"2009"
"1491","Suzuki Swift",1090000,"2011"
"1492","Honda Civic",950000,"2003"
"1493","Ford Ranger",1380000,"2010"
"1494","Toyota Vitz",5e+05,"2004"
"1495","Mitsubishi GT",1200000,"2008"
"1496","Subaru impreza",1250000,"2010"
"1497","Toyota kingfish",750000,"2003"
"1498",NA,NA,NA
"1499","Subaru anesis",980000,"2009"
"1500","Toyota x",2750000,"2012"
"1501","Nissan up",380000,"1995"
"1502","Nissan TRUCK",1650000,"2003"
"1503","Suzuki Swift",765000,"2009"
"1504","Toyota AXIO",1240000,"2009"
"1505","Honda CRV",1650000,"2007"
"1506","Mazda Axela",1350000,"2011"
"1507","Nissan bluebird",2170000,"2013"
"1508","Toyota feilder",1150000,"2008"
"1509",NA,NA,NA
"1510","Toyota iST",545000,"2005"
"1511","Lexus 250",1900000,"2008"
"1512","Isuzu up",290000,"1990"
"1513","Honda Si",2200000,"2015"
"1514","Nissan up",230000,"1992"
"1515","Mitsubishi Sport",580000,"1997"
"1516","Toyota caldina",890000,"2004"
"1517","Toyota bus",480000,"1998"
"1518","Toyota Axio",1500000,"2010"
"1519","Suzuki SWIFT",1450000,"2014"
"1520",NA,NA,NA
"1521","Toyota e111",4e+05,"1998"
"1522","Toyota Hiace",2700000,"2013"
"1523","Honda wogan",2050000,"2011"
"1524","Toyota Rav4",2950000,"2013"
"1525","Honda stream",1050000,"2006"
"1526","Mitsubishi sport",950000,"2006"
"1527","Honda Accord",2350000,"2010"
"1528","Kia Ceed",1150000,"2011"
"1529","Toyota school",120000,"1991"
"1530","Toyota Probox",870000,"2008"
"1531",NA,NA,NA
"1532","Suzuki APV",1100000,"2012"
"1533","Isuzu ELF",2500000,"2010"
"1534","Toyota Probox",1050000,"2013"
"1535","Nissan March",5e+05,"2007"
"1536","Honda Civic",850000,"2005"
"1537","Mercedes CDi",3100000,"2009"
"1538","Nissan Note",1399000,"2013"
"1539","Suzuki Sport",785000,"2007"
"1540","Nissan Lafesta",8e+05,"2007"
"1541","Honda Odyssey",1800000,"2010"
"1542",NA,NA,NA
"1543","Honda box",27000,"2000"
"1544","Toyota Passo",5e+05,"2006"
"1545","Toyota axio",1949999,"2013"
"1546","BMW x5",2299999,"2008"
"1547","BMW 328i",4700000,"2015"
"1548","Mitsubishi 7",1890000,"2001"
"1549","Nissan Urvan",6e+05,"2006"
"1550","BMW seriesa",650000,"1999"
"1551","Suzuki Ignis",370000,"2001"
"1552","Toyota cynos",3e+05,"1996"
"1553",NA,NA,NA
"1554","Toyota Axio",1790000,"2014"
"1555","Toyota Axio",1850000,"2013"
"1556","Mazda sport",2500000,"2013"
"1557","Honda Accord",1300000,"2008"
"1558","BMW 320i",1800000,"2008"
"1559","Toyota Corolla",420000,"1996"
"1560","Toyota Noah",1570000,"2008"
"1561","Honda Stream",1050000,"2007"
"1562","Honda Integra",750000,"2001"
"1563","Ford XL",180000,"1994"
"1564",NA,NA,NA
"1565","Mitsubishi Fuso",2e+06,"2000"
"1566","Suzuki Sport",9e+05,"2010"
"1567","Toyota Vitz",820000,"2008"
"1568","Ford Ranger",1350000,"2010"
"1569","Toyota S",2800000,"2016"
"1570","Toyota Fielder",2e+06,"2013"
"1571","BMW 328i",3300000,"2013"
"1572","Toyota camry",250000,"1991"
"1573","Toyota Hilux",5500000,"2016"
"1574","Nissan Frontier",750000,"2003"
"1575",NA,NA,NA
"1576","Ford Ranger",1450000,"2008"
"1577","Suzuki Swift",980000,"2011"
"1578","MG bike",120000,"2003"
"1579","Suzuki baleno",380000,"2001"
"1580","Toyota Isis",1430000,"2011"
"1581","Daihatsu Mira",820000,"2013"
"1582","Honda Civic",580000,"2001"
"1583","Honda Crv",1750000,"2007"
"1584","Toyota Belta",1180000,"2011"
"1585","Nissan Versa",690000,"2010"
"1586",NA,NA,NA
"1587","Nissan Note",1100000,"2012"
"1588","Nissan Tiida",780000,"2007"
"1589","Toyota S",950000,"2009"
"1590","Toyota flaty",240000,"1989"
"1591","Honda Accord",1750000,"2010"
"1592","Toyota fielder",1350000,"2010"
"1593","Honda Odyssey",780000,"2001"
"1594","Honda Turbo",3250000,"2016"
"1595","Honda Touring",3400000,"2016"
"1596","Honda odyssey",540000,"2001"
"1597",NA,NA,NA
"1598","Jeep WRANGLER",8e+06,"2016"
"1599","Suzuki VITARA",1400000,"2009"
"1600","Suzuki XL",3e+06,"2017"
"1601","Chevrolet CRUZE",1800000,"2014"
"1602","Suzuki XL",3e+06,"2017"
"1603","Toyota PRADO",850000,"2000"
"1604","Toyota PRADO",1600000,"2006"
"1605","Toyota Zio",2150000,"2011"
"1606","Suzuki XG",2700000,"2017"
"1607","Toyota Caldina",250000,"1996"
"1608",NA,NA,NA
"1609","Daewoo Lanos",2e+05,"1999"
"1610","Dodge Caliber",1e+06,"2008"
"1611","Toyota Rav4",1350000,"2006"
"1612","BMW 523I",1290000,"2006"
"1613","Nissan Tida",450000,"2010"
"1614","Subaru Legacy",435000,"1999"
"1615","Suzuki Swift",150000,"1990"
"1616","Toyota Corolla",380000,"1996"
"1617","Toyota corolla",350000,"1992"
"1618","Mitsubishi Lancer",3e+05,"1999"
"1619",NA,NA,NA
"1620","Toyota SV40",290000,"1995"
"1621","Nissan WAGON",1150000,"2013"
"1622","Honda CRV",4250000,"2015"
"1623","Toyota Passo",8e+05,"2012"
"1624","Nissan Note",780000,"2010"
"1625","Honda Fit",880000,"2009"
"1626","Honda Fit",1250000,"2012"
"1627","Toyota Premio",1800000,"2011"
"1628","Toyota Hilux",6800000,"2017"
"1629","BMW 116I",1200000,"2005"
"1630",NA,NA,NA
"1631","Rover RANGE",6500000,"2010"
"1632","BMW 318i",1400000,"2007"
"1633","Toyota Sprinter",170000,"1996"
"1634","Toyota RAV4",3150000,"2013"
"1635","Nissan Pulsar",450000,"1998"
"1636","Suzuki SWIFT",590000,"2006"
"1637","Toyota Corollaaxio",2300000,"2015"
"1638","Nissan tiida",850000,"2011"
"1639","Honda EX",980000,"2009"
"1640","Honda Civic",1700000,"2012"
"1641",NA,NA,NA
"1642","Toyota Blade",1300000,"2009"
"1643","Subaru Impreza",1680000,"2012"
"1644","Toyota Hiace",4e+05,"1994"
"1645","Toyota Altis",940000,"2005"
"1646","Toyota Probox",1390000,"2014"
"1647","Toyota Belta",850000,"2008"
"1648","Nissan wagon",7e+05,"2010"
"1649","Toyota Rav4",1650000,"2007"
"1650","Toyota sienta",550000,"2007"
"1651","Toyota avensis",760000,"2004"
"1652",NA,NA,NA
"1653","Nissan Wagon",150000,"1991"
"1654","Toyota Allion",150000,"2012"
"1655","BMW 428i",5700000,"2015"
"1656","Honda Accord",2872000,"2014"
"1657","Toyota axio",2250000,"2015"
"1658","BMW 328i",3300000,"2014"
"1659","Lada Vaz",1000,"1982"
"1660","Nissan Murano",1470000,"2008"
"1661","Nissan Wagon",350000,"2012"
"1662","Toyota Probox",990000,"2013"
"1663",NA,NA,NA
"1664","Toyota Proboxx",1030000,"2012"
"1665","Toyota Passo",750000,"2010"
"1666","Nissan Wagon",890000,"2012"
"1667","Honda Accord",1150000,"2005"
"1668","BMW 30D",7500000,"2014"
"1669","Nissan Van",1300000,"2014"
"1670","Nissan wagon",1150000,"2013"
"1671","Toyota 100",360000,"1992"
"1672","Mercedes Advantgarde",6500000,"2015"
"1673","Honda crv",895000,"2001"
"1674",NA,NA,NA
"1675","Isuzu 30",4100000,"2010"
"1676","Ford Escape",3e+06,"2014"
"1677","Honda Civic",2150,"2013"
"1678","Honda Civic",1830000,"2012"
"1679","Toyota AQUA",1550000,"2013"
"1680","Nissan Tiida",875000,"2007"
"1681","Nissan WAGON",1150000,"2013"
"1682","Mazda Premacy",1490000,"2011"
"1683","BMW 320D",3690000,"2013"
"1684","Toyota yaris",980000,"2008"
"1685",NA,NA,NA
"1686","Toyota Vitz",1380000,"2013"
"1687","BMW X5",2700000,"2008"
"1688","Subaru Legacy",780000,"2005"
"1689","Audi Q5",2950000,"2012"
"1690","BMW 428i",6800000,"2015"
"1691","Toyota Axio",1950000,"2014"
"1692","Suzuki Swift",1820000,"2015"
"1693","Honda 600F3",2e+05,"1997"
"1694","Honda Integra",480000,"1998"
"1695","Suzuki Swift",795000,"2010"
"1696",NA,NA,NA
"1697","Toyota Corola",320000,"1995"
"1698","Daihatsu Charade",270000,"1995"
"1699","BMW 328i",3400000,"2013"
"1700","Honda FIT",1550000,"2013"
"1701","Honda Orthia",580000,"1999"
"1702","Toyota S",2100000,"2014"
"1703","Nissan Note",1650000,"2014"
"1704","Honda Stream",1500000,"2009"
"1705","Nissan slyphy",1300000,"2012"
"1706","Nissan Altima",850000,"2003"
"1707",NA,NA,NA
"1708","Toyota Wish",1710000,"2011"
"1709","Honda Civic",1480000,"2010"
"1710","BMW 320i",3350000,"2012"
"1711","Honda Civic",2900000,"2009"
"1712","Honda LX",2400000,"2015"
"1713","Honda Turbo",3250000,"2016"
"1714","Honda EX",3350000,"2016"
"1715","Honda EX",2850000,"2016"
"1716","Nissan Medalist",1499000,"2013"
"1717","Toyota Fish",720000,"2003"
"1718",NA,NA,NA
"1719","Nissan Wingroad",1440000,"2013"
"1720","Suzuki Swift",2550000,"2017"
"1721","Toyota X",2100000,"2012"
"1722","Toyota Corrolla",350000,"1995"
"1723","Honda Civic",1300000,"2007"
"1724","Toyota Corolla",380000,"1992"
"1725","Honda Accord",1490000,"2008"
"1726","Suzuki Swift",1400000,"2013"
"1727","Subaru Impreza",1400000,"2011"
"1728","Suzuki Swift",7e+05,"2008"
"1729",NA,NA,NA
"1730","Honda fit",1050000,"2010"
"1731","Honda Civic",2e+06,"2013"
"1732","Toyota Rav4",950000,"2002"
"1733","Toyota Tercel",330000,"1995"
"1734","BMW 320i",4e+06,"2015"
"1735","Suzuki Swift",980000,"2011"
"1736","Toyota Axio",1990000,"2014"
"1737","Honda Fit",1320000,"2012"
"1738","Honda Sport",2800000,"2014"
"1739","Suzuki SWIFT",980000,"2010"
"1740",NA,NA,NA
"1741","Suzuki Swift",8e+05,"2011"
"1742","Honda FIT",590000,"2004"
"1743","Toyota Vitz",890000,"2010"
"1744","Honda Fit",2230000,"2016"
"1745","Honda Fit",1500000,"2013"
"1746","Toyota RAV4",1550000,"2008"
"1747","Mazda Tribute",9e+05,"2005"
"1748","Suzuki metro",150000,"1990"
"1749","Geo metro",150000,"1990"
"1750","Toyota Belta",940000,"2008"
"1751",NA,NA,NA
"1752","Honda City",2250000,"2012"
"1753","Kia Sportage",2730000,"2013"
"1754","Honda Fit",1700000,"2014"
"1755","Toyota Hilux",9e+05,"2000"
"1756","Suzuki Solio",9e+05,"2012"
"1757","Nissan tiida",1e+06,"2012"
"1758","Lexus IS250",2300000,"2010"
"1759","Toyota voxy",1400000,"2006"
"1760","Honda civic",530000,"2001"
"1761","Toyota VITZ",1400000,"2013"
"1762",NA,NA,NA
"1763","Honda Accord",550000,"2001"
"1764","Mitsubishi wagon",7e+05,"2003"
"1765","Mazda 2",2900000,"2016"
"1766","BMW 330i",1e+06,"2003"
"1767","Honda ef",250000,"1990"
"1768","Suzuki RS",1450000,"2012"
"1769","Toyota Tacoma",2e+06,"2005"
"1770","Volkswagen Jetta",2350000,"2014"
"1771","Toyota vitz",1228000,"2012"
"1772","Daihatsu Mira",750000,"2012"
"1773",NA,NA,NA
"1774","Suzuki Swift",8e+05,"2007"
"1775","Volkswagen Amarok",1700000,"2012"
"1776","Suzuki Eco",650000,"2012"
"1777","Chevrolet Avalanche",2e+06,"2007"
"1778","Nissan Tiida",1100000,"2011"
"1779","Mitsubishi gallant",490000,"2004"
"1780","Nissan Navara",2500000,"2011"
"1781","Toyota Runx",6e+05,"2001"
"1782","Honda Civic",8e+05,"2003"
"1783","Nissan Teana",820000,"2007"
"1784",NA,NA,NA
"1785","Kia Picanto",750000,"2012"
"1786","Toyota II",450000,"1996"
"1787","Audi A1",1800000,"2011"
"1788","Toyota 110",490000,"1997"
"1789","Honda accord",160000,"1993"
"1790","Toyota X",3150000,"2014"
"1791","Mitsubishi Roadest",2650000,"2011"
"1792","Honda GE6",1e+06,"2008"
"1793","Toyota Corsa",420000,"1997"
"1794","Toyota Belta",1130000,"2012"
"1795",NA,NA,NA
"1796","Toyota Caldina",580000,"2000"
"1797","Mazda PREMACY",1690000,"2013"
"1798","Ford Focus",950000,"2010"
"1799","Mitsubishi Lancer",320000,"1998"
"1800","Honda Integra",280000,"1998"
"1801","Mazda Demio",1e+06,"2012"
"1802","Honda Accord",2200000,"2012"
"1803","Honda Accord",1450000,"2008"
"1804","Toyota Corolla",390000,"1994"
"1805","Toyota x",2100000,"2012"
"1806",NA,NA,NA
"1807","Land Sport",3e+06,"2008"
"1808","Land Sport",3200000,"2009"
"1809","Nissan Sunny",220000,"1990"
"1810","Toyota Wish",1900000,"2012"
"1811","Nissan Cube",390000,"2001"
"1812","Audi Q5",4800000,"2014"
"1813","Honda Accord",1500000,"2007"
"1814","Honda Fit",1849000,"2015"
"1815","Toyota Camry",485000,"1998"
"1816","Honda Fit",1200000,"2010"
"1817",NA,NA,NA
"1818","Mitsubishi Grandis",4e+05,"2000"
"1819","Toyota Rav4",850000,"2002"
"1820","Mitsubishi Pajero",9e+05,"2002"
"1821","Toyota X",1750000,"2010"
"1822","Honda Fit",860000,"2010"
"1823","Honda Fit",1800000,"2015"
"1824","Toyota Yaris",1300000,"2012"
"1825","Mazda Bongo",1200000,"2010"
"1826","Daihatsu Mira",750000,"2013"
"1827","Honda LX",2550000,"2013"
"1828",NA,NA,NA
"1829","Honda Accord",1350000,"2007"
"1830","BMW X5",2900000,"2009"
"1831","Mitsubishi Lancer",220000,"1997"
"1832","Suzuki Swift",1320000,"2013"
"1833","Mazda Demio",690000,"2008"
"1834","Toyota Vitz",1595000,"2013"
"1835","Toyota 110",5e+05,"1995"
"1836","Ford Supercab",3500000,"2013"
"1837","Honda Fit",1165000,"2012"
"1838","Mitsubishi Lancer",180000,"1995"
"1839",NA,NA,NA
"1840","Toyota 4",480000,"1996"
"1841","Nissan Tiida",990000,"2011"
"1842","Audi Q5",3700000,"2011"
"1843","Hyundai Elantra",2200000,"2013"
"1844","Toyota Auris",1300000,"2010"
"1845","Toyota Allion",2650000,"2015"
"1846","Honda Crv",1480000,"2006"
"1847","Nissan Almera",560000,"2006"
"1848","Honda Civic",2e+06,"2013"
"1849","Nissan Juke",2300000,"2014"
"1850",NA,NA,NA
"1851","Nissan Juke",2500000,"2014"
"1852","Volkswagen Jetta",1500000,"2010"
"1853","Honda Accord",2500000,"2010"
"1854","Toyota Vitz",1200000,"2012"
"1855","Toyota succeed",580000,"2003"
"1856","Toyota Ist",710000,"2005"
"1857","Nissan Note",770000,"2009"
"1858","Honda crv",3400000,"2013"
"1859","Nissan sylphy",1050000,"2007"
"1860","Mitsubishi Pajero",5350000,"2015"
"1861",NA,NA,NA
"1862","Mazda Premacy",1700000,"2013"
"1863","Suzuki Swift",1450000,"2014"
"1864","Suzuki Alto",7e+05,"2012"
"1865","Hyundai accent",280000,"2000"
"1866","Suzuki Swift",1150000,"2012"
"1867","Honda Civic",2400000,"2014"
"1868","Honda Civic",2300000,"2015"
"1869","Suzuki sport",950000,"2009"
"1870","Mitsubishi Fortis",850000,"2008"
"1871","Toyota Ractis",995000,"2011"
"1872",NA,NA,NA
"1873","Nissan Bluebird",1050000,"2008"
"1874","Nissan Sunny",160000,"1991"
"1875","Honda CIVIC",2750000,"2016"
"1876","Nissan Pulsar",245000,"1998"
"1877","Mitsubishi Evolution",1500000,"2001"
"1878","Subaru STI",6500000,"2016"
"1879","Nissan sylphy",520000,"2001"
"1880","Nissan Accord",185000,"1994"
"1881","Toyota Vitz",480000,"2001"
"1882","Suzuki Vitara",4e+06,"2015"
"1883",NA,NA,NA
"1884","Suzuki VITARA",2300000,"2013"
"1885","BMW 316I",450000,"2001"
"1886","Toyota Camry",5e+05,"1997"
"1887","Honda RSZ",1500000,"2009"
"1888","Toyota Camry",3e+05,"1991"
"1889","Honda Civic",950000,"2008"
"1890","Toyota Surf",650000,"1996"
"1891","Audi A6",7350000,"2016"
"1892","Honda STREAM",1100000,"2006"
"1893","Volkswagen Jetta",2900000,"2015"
"1894",NA,NA,NA
"1895","Honda RS",1200000,"2010"
"1896","Toyota Passa",550000,"2008"
"1897","Suzuki Vitara",1150000,"2007"
"1898","Nissan DX",1e+06,"2006"
"1899","Honda CRV",830000,"2003"
"1900","Toyota Rav4",2500000,"2013"
"1901","Suzuki swift",1350000,"2014"
"1902","Mercedes Kompressor",1170000,"2004"
"1903","Toyota Liesse",4880000,"2009"
"1904","Toyota ii",4630000,"2007"
"1905",NA,NA,NA
"1906","Honda Stream",610000,"2001"
"1907","Toyota Wish",1980000,"2012"
"1908","Toyota Hiace",995000,"2006"
"1909","Toyota Fielder",1600000,"2007"
"1910","Toyota Civic",650000,"2001"
"1911","Nissan March",950000,"2011"
"1912","BMW 316i",550000,"2002"
"1913","Mercedes 250D",12500000,"2017"
"1914","Volkswagen POLO",2300000,"2016"
"1915","Nissan Bluebird",3e+05,"1997"
"1916",NA,NA,NA
"1917","Toyota isis",1700000,"2011"
"1918","Honda Accord",1300000,"2005"
"1919","Honda FIT",1850000,"2015"
"1920","Suzuki vitara",8e+05,"2005"
"1921","Toyota Fielder",1250000,"2010"
"1922","Daihatsu Mira",650000,"2012"
"1923","Nissan Note",595000,"2008"
"1924","Toyota Caldina",650000,"2005"
"1925","Toyota Prado",2500000,"2008"
"1926","Toyota Corolla",290000,"1992"
"1927",NA,NA,NA
"1928","Toyota Caldina",8e+05,"2003"
"1929","Nissan Paraie",420000,"2002"
"1930","Honda Accord",2100000,"2009"
"1931","BMW 630i",2500000,"2007"
"1932","Toyota wish",1650000,"2010"
"1933","Nissan saloon",430000,"2001"
"1934","Toyota Vitz",1350000,"2013"
"1935","Nissan Note",880000,"2010"
"1936","Mercedes C180",4e+06,"2014"
"1937","BMW 320i",2800000,"2011"
"1938",NA,NA,NA
"1939","Toyota FT86",3400000,"2014"
"1940","Toyota 4",4900000,"2017"
"1941","Toyota Caldina",650000,"2005"
"1942","Mini BMW",1750000,"2012"
"1943","Nissan Note",1390000,"2012"
"1944","Honda Accord",3740000,"2016"
"1945","Subaru G4",2e+06,"2012"
"1946","Daihatsu Mira",695000,"2013"
"1947","Honda Fit",1320000,"2012"
"1948","Honda Fit",1270000,"2012"
"1949",NA,NA,NA
"1950","Toyota Axio",1680000,"2012"
"1951","Honda Accord",2800000,"2013"
"1952","Toyota Vitz",1290000,"2012"
"1953","Nissan Tiida",880000,"2008"
"1954","Nissan Tiida",910000,"2010"
"1955","Nissan Note",1220000,"2012"
"1956","Honda Accord",395000,"1996"
"1957","Honda Fit",1950000,"2015"
"1958","Nissan Tiida",960000,"2011"
"1959","Suzuki Swift",1200000,"2012"
"1960",NA,NA,NA
"1961","Mercedes C220d",5400000,"2015"
"1962","Honda EX",2550000,"2015"
"1963","Honda EX",3600000,"2017"
"1964","Honda Touring",3350000,"2017"
"1965","Honda Crv",3900000,"2015"
"1966","Toyota Tacoma",6200000,"2016"
"1967","BMW 328i",3400000,"2013"
"1968","Yamaha R6",1100000,"2016"
"1969","BMW 320i",3600000,"2015"
"1970","Toyota Axio",2150000,"2013"
"1971",NA,NA,NA
"1972","Mini S",3150000,"2015"
"1973","Honda Accord",3400000,"2016"
"1974","Honda Accord",1020000,"2007"
"1975","Toyota Corona",260000,"1994"
"1976","Toyota Carolla",770000,"2002"
"1977","Toyota Carolla",760000,"2002"
"1978","Honda Ek3",560000,"2000"
"1979","Nissan Tiida",7e+05,"2006"
"1980","Nissan Serena",1e+06,"2008"
"1981","Nissan Note",1310000,"2012"
"1982",NA,NA,NA
"1983","Subaru G4",2e+06,"2014"
"1984","Toyota Axio",2520000,"2015"
"1985","Mitsubishi Wagon",4e+05,"2001"
"1986","Honda CRV",2300000,"2011"
"1987","Toyota Blitz",850000,"2007"
"1988","Toyota kingfish",630000,"2000"
"1989","Subaru Lagacy",350000,"1998"
"1990","Subaru Hatchback",1e+06,"2008"
"1991","Honda Fit",1720000,"2014"
"1992","Lexus Is250",2200000,"2008"
"1993",NA,NA,NA
"1994","Honda Accord",810000,"2002"
"1995","Toyota Townace",760000,"2003"
"1996","Honda Accord",3250000,"2016"
"1997","Toyota Starlet",5e+05,"1991"
"1998","Toyota zio",2100000,"2012"
"1999","Toyota Style",1999998,"2012"
"2000","Toyota Start",1360000,"2012"
"2001","Nissan Note",1250000,"2012"
"2002","Nissan Teana",1950000,"2012"
"2003","Subaru G4",2390000,"2015"
"2004",NA,NA,NA
"2005","Mazda Premacy",1980000,"2015"
"2006","Mazda sport",1850000,"2012"
"2007","Mitsubishi ASX",3580000,"2016"
"2008","Honda accord",1400000,"2008"
"2009","Honda Civic",1900000,"2012"
"2010","Toyota HARRIER",6800000,"2017"
"2011","Toyota FIELDER",2100000,"2015"
"2012","Nissan VERSA",1950000,"2015"
"2013","Toyota Vitz",790000,"2010"
"2014","Toyota 30",3177417,"2013"
"2015",NA,NA,NA
"2016","Honda Ek3",450000,"1998"
"2017","Volkswagen Polo",2550000,"2016"
"2018","BMW 320i",3440000,"2012"
"2019","Mazda CX5",3200000,"2013"
"2020","Subaru Forester",60000,"2000"
"2021","Toyota X",2350000,"2012"
"2022","Nissan SYLPHY",2450000,"2014"
"2023","Nissan Tiida",830000,"2009"
"2024","Toyota Sprinter",530000,"1999"
"2025","Subaru Impreza",1e+06,"2008"
"2026",NA,NA,NA
"2027","Toyota Passo",550000,"2006"
"2028","Honda Accord",3e+05,"1997"
"2029","Honda Civic",1400000,"2006"
"2030","Toyota Camry",1700000,"2008"
"2031","Mercedes Benz",1100000,"1996"
"2032","Volkswagen Jetta",220000,"1991"
"2033","Honda stream",1150000,"2006"
"2034","Honda Civic",6e+05,"2000"
"2035","Cadillac EscaladeAvalanche",1400000,"2002"
"2036","Toyota 100",380000,"1991"
"2037",NA,NA,NA
"2038","Volkswagen tsi",2500000,"2014"
"2039","Mitsubishi fighter",2150000,"2001"
"2040","Suzuki Swift",2150000,"2015"
"2041","Nissan XTRAIL",690000,"2003"
"2042","Toyota x",2400000,"2010"
"2043","Honda Civic",390000,"1997"
"2044","Nissan Sunny",630000,"2005"
"2045","Honda Civic",1250000,"2007"
"2046","Honda ACCORD",650000,"2001"
"2047","Nissan Note",920000,"2011"
"2048",NA,NA,NA
"2049","Toyota Fielder",1800000,"2013"
"2050","Volkswagen Golf",1850000,"2013"
"2051","Toyota COROLLA",1750000,"2013"
"2052","Mazda Demio",720000,"2007"
"2053","Toyota Altis",880000,"2005"
"2054","Toyota Camry",330000,"1995"
"2055","Honda Civic",1400000,"2009"
"2056","Toyota Tundra",7000,"2014"
"2057","Toyota Allion",2270000,"2013"
"2058","Nissan Wingroad",860000,"2007"
"2059",NA,NA,NA
"2060","Toyota Axio",1320000,"2010"
"2061","Honda Civic",2800000,"2016"
"2062","Honda Fit",1930000,"2015"
"2063","Chevrolet Stingray",1.3e+07,"2014"
"2064","BMW X6",5500000,"2011"
"2065","Suzuki Swift",1300000,"2012"
"2066","Toyota Camry",2e+05,"1996"
"2067","Suzuki Liana",475000,"2003"
"2068","Audi A4",1800000,"2007"
"2069","Chevrolet Avalanche",2650000,"2009"
"2070",NA,NA,NA
"2071","Toyota Ipsum",1320000,"2007"
"2072","BMW 528i",4500000,"2011"
"2073","Mercedes A180",4600000,"2014"
"2074","Toyota Starlet",360000,"1992"
"2075","Suzuki vitara",850000,"2005"
"2076","Toyota Belta",1300000,"2011"
"2077","Honda aria",790000,"2007"
"2078","Toyota axio",1295000,"2010"
"2079","Nissan B15",490000,"2001"
"2080","Nissan Note",1390000,"2012"
"2081",NA,NA,NA
"2082","Toyota Hiace",30000,"2000"
"2083","Toyota VibeMatrix",980000,"2008"
"2084","Honda Accord",280000,"1989"
"2085","Toyota Axio",1200000,"2007"
"2086","Nissan Pulsar",340000,"1997"
"2087","Toyota Corolla",4e+05,"1998"
"2088","Suzuki Liana",520000,"2004"
"2089","Toyota Corolla",2e+06,"2014"
"2090","Toyota Corolla",2e+06,"2014"
"2091","Suzuki Swift",720000,"2007"
"2092",NA,NA,NA
"2093","Audi A4",3500000,"2013"
"2094","Toyota 111",580000,"1998"
"2095","Toyota lexus",730000,"2000"
"2096","Nissan qashqai",1800000,"2010"
"2097","Nissan tiida",1150000,"2012"
"2098","Toyota Passo",820000,"2012"
"2099","Toyota Fielder",2200000,"2014"
"2100","Nissan Sylphy",1550000,"2012"
"2101","Nissan Latio",1500000,"2013"
"2102","Honda Integra",395000,"1998"
"2103",NA,NA,NA
"2104","Freightliner 8500",3900000,"2005"
"2105","Honda Fit",1800000,"2014"
"2106","Subaru Impreza",1200000,"2009"
"2107","Toyota Probox",1220000,"2013"
"2108","Toyota Probox",1220000,"2013"
"2109","Toyota Markx",3200000,"2014"
"2110","Nissan note",1250000,"2013"
"2111","Honda Fit",1350000,"2013"
"2112","Toyota mark2",490000,"1996"
"2113","BMW 530i",890000,"2003"
"2114",NA,NA,NA
"2115","Toyota Isis",1600000,"2012"
"2116","Daihatsu Mira",650000,"2012"
"2117","Toyota ZS",1559630,"2012"
"2118","Toyota wagan",450000,"2000"
"2119","Toyota VITZ",999999,"2009"
"2120","Volkswagen Jetta",2500000,"2013"
